Year,Tier,Country,Region
2007,Tier 1,Australia,Oceania
2007,Tier 1,Austria,Europe
2007,Tier 1,Belgium,Europe
2007,Tier 1,Canada,North America
2007,Tier 1,Colombia,South America
2007,Tier 1,Czech Republic,Europe
2007,Tier 1,Denmark,Europe
2007,Tier 1,Finland,Europe
2007,Tier 1,France,Europe
2007,Tier 1,Georgia,Asia
2007,Tier 1,Germany,Europe
2007,Tier 1,Hong Kong,Asia
2007,Tier 1,Hungary,Europe
2007,Tier 1,Italy,Europe
2007,Tier 1,Lithuania,Europe
2007,Tier 1,Luxembourg,Europe
2007,Tier 1,Malawi,Africa
2007,Tier 1,Morocco,Africa
2007,Tier 1,Netherlands,Europe
2007,Tier 1,New Zealand,Oceania
2007,Tier 1,Norway,Europe
2007,Tier 1,Poland,Europe
2007,Tier 1,Slovenia,Europe
2007,Tier 1,South Korea,Asia
2007,Tier 1,Spain,Europe
2007,Tier 1,Sweden,Europe
2007,Tier 1,Switzerland,Europe
2007,Tier 1,United Kingdom,Europe
2007,Tier 2,Afghanistan,Asia
2007,Tier 2,Albania,Europe
2007,Tier 2,Angola,Africa
2007,Tier 2,Azerbaijan,Asia
2007,Tier 2,Bangladesh,Asia
2007,Tier 2,Belize,North America
2007,Tier 2,Benin,Africa
2007,Tier 2,Bolivia,South America
2007,Tier 2,Bosnia & Herzegovina,Europe
2007,Tier 2,Brazil,South America
2007,Tier 2,Bulgaria,Europe
2007,Tier 2,Burkina Faso,Africa
2007,Tier 2,Cameroon,Africa
2007,Tier 2,Chile,South America
2007,Tier 2,"Congo, Democratic Rep. of",Africa
2007,Tier 2,Costa Rica,North America
2007,Tier 2,Cote d'Ivoire,Africa
2007,Tier 2,Croatia,Europe
2007,Tier 2,Ecuador,South America
2007,Tier 2,El Salvador,North America
2007,Tier 2,Estonia,Europe
2007,Tier 2,Ethiopia,Africa
2007,Tier 2,Gabon,Africa
2007,Tier 2,Ghana,Africa
2007,Tier 2,Greece,Europe
2007,Tier 2,Guinea,Africa
2007,Tier 2,Guinea-Bissau,Africa
2007,Tier 2,Indonesia,Asia
2007,Tier 2,Israel,Asia
2007,Tier 2,Jamaica,North America
2007,Tier 2,Japan,Asia
2007,Tier 2,Jordan,Asia
2007,Tier 2,Kyrgyzstan,Asia
2007,Tier 2,Laos,Asia
2007,Tier 2,Latvia,Europe
2007,Tier 2,Lebanon,Asia
2007,Tier 2,Liberia,Africa
2007,Tier 2,Macedonia,Europe
2007,Tier 2,Madagascar,Africa
2007,Tier 2,Mali,Africa
2007,Tier 2,Malta,Europe
2007,Tier 2,Mauritius,Africa
2007,Tier 2,Mongolia,Asia
2007,Tier 2,Montenegro,Europe
2007,Tier 2,Nepal,Asia
2007,Tier 2,Nicaragua,North America
2007,Tier 2,Niger,Africa
2007,Tier 2,Nigeria,Africa
2007,Tier 2,Pakistan,Asia
2007,Tier 2,Panama,North America
2007,Tier 2,Paraguay,South America
2007,Tier 2,Peru,South America
2007,Tier 2,Philippines,Asia
2007,Tier 2,Portugal,Europe
2007,Tier 2,Romania,Europe
2007,Tier 2,Rwanda,Africa
2007,Tier 2,Senegal,Africa
2007,Tier 2,Serbia,Europe
2007,Tier 2,Sierra Leone,Africa
2007,Tier 2,Singapore,Asia
2007,Tier 2,Slovakia,Europe
2007,Tier 2,Suriname,South America
2007,Tier 2,Taiwan,Asia
2007,Tier 2,Tajikistan,Asia
2007,Tier 2,Tanzania,Africa
2007,Tier 2,Thailand,Asia
2007,Tier 2,Timor-Leste,Asia
2007,Tier 2,Togo,Africa
2007,Tier 2,Turkey,Asia
2007,Tier 2,Uganda,Africa
2007,Tier 2,Uruguay,South America
2007,Tier 2,Vietnam,Asia
2007,Tier 2,Yemen,Asia
2007,Tier 2,Zambia,Africa
2007,Tier 2,Zimbabwe,Africa
2007,Tier 2 Watch List,Argentina,South America
2007,Tier 2 Watch List,Armenia,Asia
2007,Tier 2 Watch List,Belarus,Europe
2007,Tier 2 Watch List,Burundi,Africa
2007,Tier 2 Watch List,Cambodia,Asia
2007,Tier 2 Watch List,Central African Republic,Africa
2007,Tier 2 Watch List,Chad,Africa
2007,Tier 2 Watch List,China,Asia
2007,Tier 2 Watch List,Cyprus,Asia
2007,Tier 2 Watch List,Djibouti,Africa
2007,Tier 2 Watch List,Dominican Republic,North America
2007,Tier 2 Watch List,Egypt,Africa
2007,Tier 2 Watch List,Fiji,Oceania
2007,Tier 2 Watch List,Guatemala,North America
2007,Tier 2 Watch List,Guyana,South America
2007,Tier 2 Watch List,Honduras,North America
2007,Tier 2 Watch List,India,Asia
2007,Tier 2 Watch List,Kazakhstan,Asia
2007,Tier 2 Watch List,Kenya,Africa
2007,Tier 2 Watch List,Libya,Africa
2007,Tier 2 Watch List,Macau,Asia
2007,Tier 2 Watch List,Mauritania,Africa
2007,Tier 2 Watch List,Mexico,North America
2007,Tier 2 Watch List,Moldova,Europe
2007,Tier 2 Watch List,Mozambique,Africa
2007,Tier 2 Watch List,Papua New Guinea,Oceania
2007,Tier 2 Watch List,Russia,Europe
2007,Tier 2 Watch List,South Africa,Africa
2007,Tier 2 Watch List,Sri Lanka,Asia
2007,Tier 2 Watch List,The Gambia,Africa
2007,Tier 2 Watch List,Ukraine,Europe
2007,Tier 2 Watch List,United Arab Emirates,Asia
2007,Tier 3,Algeria,Africa
2007,Tier 3,Bahrain,Asia
2007,Tier 3,Burma,Asia
2007,Tier 3,Cuba,North America
2007,Tier 3,Equatorial Guinea,Africa
2007,Tier 3,Iran,Asia
2007,Tier 3,Kuwait,Asia
2007,Tier 3,Malaysia,Asia
2007,Tier 3,North Korea,Asia
2007,Tier 3,Oman,Asia
2007,Tier 3,Qatar,Asia
2007,Tier 3,Saudi Arabia,Asia
2007,Tier 3,Sudan,Africa
2007,Tier 3,Syria,Asia
2007,Tier 3,Uzbekistan,Asia
2007,Tier 3,Venezuela,South America
2008,Tier 1,Australia,Oceania
2008,Tier 1,Austria,Europe
2008,Tier 1,Belgium,Europe
2008,Tier 1,Canada,North America
2008,Tier 1,Colombia,South America
2008,Tier 1,Croatia,Europe
2008,Tier 1,Czech Republic,Europe
2008,Tier 1,Denmark,Europe
2008,Tier 1,Finland,Europe
2008,Tier 1,France,Europe
2008,Tier 1,Georgia,Asia
2008,Tier 1,Germany,Europe
2008,Tier 1,Hong Kong,Asia
2008,Tier 1,Hungary,Europe
2008,Tier 1,Italy,Europe
2008,Tier 1,Lithuania,Europe
2008,Tier 1,Luxembourg,Europe
2008,Tier 1,Macedonia,Europe
2008,Tier 1,Madagascar,Africa
2008,Tier 1,Netherlands,Europe
2008,Tier 1,New Zealand,Oceania
2008,Tier 1,Norway,Europe
2008,Tier 1,Poland,Europe
2008,Tier 1,Slovenia,Europe
2008,Tier 1,South Korea,Asia
2008,Tier 1,Spain,Europe
2008,Tier 1,Sweden,Europe
2008,Tier 1,Switzerland,Europe
2008,Tier 1,United Kingdom,Europe
2008,Tier 2,Afghanistan,Asia
2008,Tier 2,Angola,Africa
2008,Tier 2,Bangladesh,Asia
2008,Tier 2,Belarus,Europe
2008,Tier 2,Belize,North America
2008,Tier 2,Benin,Africa
2008,Tier 2,Bolivia,South America
2008,Tier 2,Bosnia & Herzegovina,Europe
2008,Tier 2,Brazil,South America
2008,Tier 2,Bulgaria,Europe
2008,Tier 2,Burkina Faso,Africa
2008,Tier 2,Cambodia,Asia
2008,Tier 2,Chile,South America
2008,Tier 2,Djibouti,Africa
2008,Tier 2,Ecuador,South America
2008,Tier 2,El Salvador,North America
2008,Tier 2,Estonia,Europe
2008,Tier 2,Ethiopia,Africa
2008,Tier 2,Ghana,Africa
2008,Tier 2,Greece,Europe
2008,Tier 2,Honduras,North America
2008,Tier 2,Indonesia,Asia
2008,Tier 2,Ireland,Europe
2008,Tier 2,Israel,Asia
2008,Tier 2,Jamaica,North America
2008,Tier 2,Japan,Asia
2008,Tier 2,Kazakhstan,Asia
2008,Tier 2,Kenya,Africa
2008,Tier 2,Kyrgyzstan,Asia
2008,Tier 2,Laos,Asia
2008,Tier 2,Latvia,Europe
2008,Tier 2,Lebanon,Asia
2008,Tier 2,Liberia,Africa
2008,Tier 2,Macau,Asia
2008,Tier 2,Malawi,Africa
2008,Tier 2,Mali,Africa
2008,Tier 2,Malta,Europe
